#{"t_start": 1781094374.7070918, "env_id": "None"}
r,l,t
10.0,1,2.023176
-10.0,1,2.029461
3.0,1,2.035648
10.0,1,2.037655
-10.0,1,2.039661
-10.0,1,2.041666
-10.0,1,2.045419
-10.0,1,2.045419
-10.0,1,2.047425
-10.0,1,2.049944
-10.0,1,2.05195
-10.0,1,2.054844
-10.0,1,2.054844
-10.0,1,2.054844
10.0,1,2.059482
10.0,1,2.061223
10.0,1,2.061223
10.0,1,2.069305
-10.0,1,2.071313
-10.0,1,2.071313
-10.0,1,2.071313
3.0,1,2.076867
-10.0,1,2.077942
-10.0,1,2.077942
-10.0,1,2.081355
-10.0,1,2.083362
-10.0,1,2.085367
-10.0,1,2.087372
-10.0,1,2.089376
-10.0,1,2.092887
-10.0,1,2.094892
-10.0,1,2.096898
-10.0,1,2.096898
-10.0,1,2.100909
3.0,1,2.102915
-10.0,1,2.102915
10.0,1,2.106926
-10.0,1,2.108672
-10.0,1,2.108672
-10.0,1,2.108672
-10.0,1,2.108672
-10.0,1,2.108672
10.0,1,2.108672
-10.0,1,2.108672
3.0,1,2.108672
-10.0,1,2.12326
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.124766
-10.0,1,2.14047
-10.0,1,2.14457
-10.0,1,2.14457
-10.0,1,2.14457
-10.0,1,2.14457
-10.0,1,2.14457
-10.0,1,2.154919
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.156444
-10.0,1,2.172523
-10.0,1,2.172523
10.0,1,2.172523
-10.0,1,2.172523
-10.0,1,2.172523
-10.0,1,2.172523
10.0,1,2.172523
-10.0,1,2.172523
-10.0,1,2.188553
-10.0,1,2.188553
3.0,1,2.191956
3.0,1,2.193961
-10.0,1,2.195965
-10.0,1,2.197501
10.0,1,2.197501
-10.0,1,2.197501
10.0,1,2.204668
-10.0,1,2.204668
-10.0,1,2.204668
-10.0,1,2.204668
-10.0,1,2.204668
-10.0,1,2.204668
-10.0,1,2.204668
-10.0,1,2.204668
10.0,1,2.220707
-10.0,1,2.222717
-10.0,1,2.223222
-10.0,1,2.223222
-10.0,1,2.225226
-10.0,1,2.225226
-10.0,1,2.225226
-10.0,1,2.225226
10.0,1,2.237621
-10.0,1,2.237621
-10.0,1,2.237621
-10.0,1,2.237621
-10.0,1,2.237621
-10.0,1,2.237621
-10.0,1,2.237621
-10.0,1,2.237621
10.0,1,2.252649
-10.0,1,2.252649
-10.0,1,2.252649
-10.0,1,2.252649
-10.0,1,2.252649
-10.0,1,2.252649
-10.0,1,2.268549
-10.0,1,2.268549
10.0,1,2.268549
-10.0,1,2.268549
-10.0,1,2.268549
-10.0,1,2.268549
-10.0,1,2.268549
-10.0,1,2.284563
-10.0,1,2.284563
-10.0,1,2.284563
-10.0,1,2.284563
-10.0,1,2.292397
3.0,1,2.292397
-10.0,1,2.294403
-10.0,1,2.296407
3.0,1,2.300345
-10.0,1,2.300345
10.0,1,2.30235
-10.0,1,2.304365
-10.0,1,2.305953
3.0,1,2.305953
-10.0,1,2.305953
-10.0,1,2.305953
10.0,1,2.314512
-10.0,1,2.316281
-10.0,1,2.3174
-10.0,1,2.319465
10.0,1,2.323478
-10.0,1,2.323478
10.0,1,2.323478
-10.0,1,2.328733
-10.0,1,2.328733
-10.0,1,2.330738
-10.0,1,2.332244
10.0,1,2.334252
-10.0,1,2.334252
-10.0,1,2.334252
-10.0,1,2.334252
-10.0,1,2.334252
10.0,1,2.347905
10.0,1,2.347905
-10.0,1,2.347905
-10.0,1,2.347905
-10.0,1,2.355335
-10.0,1,2.35662
-10.0,1,2.358124
-10.0,1,2.3601
-10.0,1,2.362969
-10.0,1,2.36604
10.0,1,2.36604
-10.0,1,2.370933
-10.0,1,2.370933
10.0,1,2.370933
-10.0,1,2.370933
-10.0,1,2.38076
-10.0,1,2.38076
-10.0,1,2.38076
-10.0,1,2.38076
-10.0,1,2.38076
-10.0,1,2.38076
-10.0,1,2.395448
-10.0,1,2.395448
3.0,1,2.395448
-10.0,1,2.395448
-10.0,1,2.395448
-10.0,1,2.395448
-10.0,1,2.395448
-10.0,1,2.411472
3.0,1,2.411472
3.0,1,2.411472
-10.0,1,2.411472
3.0,1,2.411472
-10.0,1,2.411472
