#{"t_start": 1781094110.7139392, "env_id": "None"}
r,l,t
-10.0,1,2.217367
-10.0,1,2.223202
10.0,1,2.223202
-10.0,1,2.223202
-10.0,1,2.22671
-10.0,1,2.22941
-10.0,1,2.22941
-10.0,1,2.232813
-10.0,1,2.232813
-10.0,1,2.232813
-10.0,1,2.232813
-10.0,1,2.232813
-10.0,1,2.232813
10.0,1,2.244218
10.0,1,2.246222
3.0,1,2.248228
-10.0,1,2.248228
-10.0,1,2.250232
-10.0,1,2.254356
-10.0,1,2.256361
-10.0,1,2.256361
-10.0,1,2.258366
-10.0,1,2.258366
-10.0,1,2.258366
-10.0,1,2.258366
-10.0,1,2.265804
-10.0,1,2.267024
-10.0,1,2.267024
-10.0,1,2.269029
-10.0,1,2.271034
10.0,1,2.274158
10.0,1,2.274158
-10.0,1,2.274158
-10.0,1,2.274158
10.0,1,2.274158
-10.0,1,2.282107
10.0,1,2.282107
-10.0,1,2.282107
-10.0,1,2.282107
10.0,1,2.282107
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.289954
-10.0,1,2.300359
-10.0,1,2.302364
-10.0,1,2.304369
-10.0,1,2.305873
-10.0,1,2.310562
-10.0,1,2.310562
-10.0,1,2.310562
-10.0,1,2.310562
-10.0,1,2.310562
10.0,1,2.310562
-10.0,1,2.310562
3.0,1,2.3214
-10.0,1,2.322884
-10.0,1,2.322884
-10.0,1,2.322884
10.0,1,2.322884
-10.0,1,2.322884
-10.0,1,2.322884
-10.0,1,2.322884
-10.0,1,2.333034
-10.0,1,2.335278
-10.0,1,2.335278
-10.0,1,2.337049
-10.0,1,2.339081
-10.0,1,2.342454
-10.0,1,2.342454
-10.0,1,2.344461
-10.0,1,2.344461
-10.0,1,2.347688
-10.0,1,2.347688
-10.0,1,2.349693
-10.0,1,2.351699
-10.0,1,2.352706
-10.0,1,2.353713
-10.0,1,2.353713
10.0,1,2.35826
-10.0,1,2.360581
-10.0,1,2.360581
-10.0,1,2.360581
-10.0,1,2.365267
-10.0,1,2.365267
-10.0,1,2.368567
-10.0,1,2.368567
10.0,1,2.368567
-10.0,1,2.373229
-10.0,1,2.373229
-10.0,1,2.373229
-10.0,1,2.373229
-10.0,1,2.378989
-10.0,1,2.378989
3.0,1,2.378989
-10.0,1,2.384497
-10.0,1,2.384497
-10.0,1,2.384497
-10.0,1,2.384497
-10.0,1,2.384497
-10.0,1,2.395208
-10.0,1,2.395208
-10.0,1,2.397213
-10.0,1,2.399217
-10.0,1,2.401375
-10.0,1,2.401375
-10.0,1,2.403852
-10.0,1,2.406719
-10.0,1,2.408023
10.0,1,2.40946
-10.0,1,2.40946
-10.0,1,2.40946
-10.0,1,2.414485
-10.0,1,2.417354
10.0,1,2.420664
-10.0,1,2.424681
-10.0,1,2.424681
-10.0,1,2.424681
-10.0,1,2.424681
-10.0,1,2.429243
-10.0,1,2.429243
-10.0,1,2.432245
-10.0,1,2.433253
-10.0,1,2.433253
-10.0,1,2.433253
-10.0,1,2.433253
-10.0,1,2.433253
-10.0,1,2.433253
-10.0,1,2.433253
-10.0,1,2.433253
-10.0,1,2.433253
-10.0,1,2.447956
10.0,1,2.449962
-10.0,1,2.451965
-10.0,1,2.451965
-10.0,1,2.455617
-10.0,1,2.455617
-10.0,1,2.458631
-10.0,1,2.458631
-10.0,1,2.460636
-10.0,1,2.464049
-10.0,1,2.464049
-10.0,1,2.464049
-10.0,1,2.464049
-10.0,1,2.464049
-10.0,1,2.464049
-10.0,1,2.464049
-10.0,1,2.464049
-10.0,1,2.464049
-10.0,1,2.477602
-10.0,1,2.47811
-10.0,1,2.479877
-10.0,1,2.479877
-10.0,1,2.479877
-10.0,1,2.479877
-10.0,1,2.479877
-10.0,1,2.479877
-10.0,1,2.479877
-10.0,1,2.479877
10.0,1,2.494143
-10.0,1,2.495913
-10.0,1,2.495913
-10.0,1,2.495913
-10.0,1,2.495913
-10.0,1,2.495913
-10.0,1,2.495913
-10.0,1,2.495913
-10.0,1,2.495913
-10.0,1,2.495913
10.0,1,2.495913
-10.0,1,2.495913
10.0,1,2.511581
-10.0,1,2.511581
-10.0,1,2.511581
-10.0,1,2.511581
-10.0,1,2.520727
-10.0,1,2.52192
10.0,1,2.523925
-10.0,1,2.523925
-10.0,1,2.52593
-10.0,1,2.528684
-10.0,1,2.528684
-10.0,1,2.533208
-10.0,1,2.533208
-10.0,1,2.533208
10.0,1,2.533208
10.0,1,2.533208
-10.0,1,2.533208
-10.0,1,2.543787
-10.0,1,2.543787
-10.0,1,2.543787
-10.0,1,2.543787
-10.0,1,2.543787
-10.0,1,2.543787
-10.0,1,2.543787
10.0,1,2.543787
-10.0,1,2.543787
-10.0,1,2.543787
-10.0,1,2.559534
-10.0,1,2.561543
10.0,1,2.564382
-10.0,1,2.564382
-10.0,1,2.566387
-10.0,1,2.566387
-10.0,1,2.56922
-10.0,1,2.571472
-10.0,1,2.571472
-10.0,1,2.575226
-10.0,1,2.57623
-10.0,1,2.57623
-10.0,1,2.578233
3.0,1,2.580235
-10.0,1,2.580235
-10.0,1,2.580235
-10.0,1,2.580235
-10.0,1,2.587661
-10.0,1,2.588854
-10.0,1,2.588854
-10.0,1,2.590865
-10.0,1,2.592871
10.0,1,2.595161
-10.0,1,2.595161
10.0,1,2.597166
-10.0,1,2.599171
-10.0,1,2.599171
-10.0,1,2.602925
-10.0,1,2.602925
-10.0,1,2.604929
-10.0,1,2.607211
-10.0,1,2.607211
-10.0,1,2.609274
-10.0,1,2.613586
10.0,1,2.613586
-10.0,1,2.613586
-10.0,1,2.619448
-10.0,1,2.622459
-10.0,1,2.622459
-10.0,1,2.622459
-10.0,1,2.622459
-10.0,1,2.622459
10.0,1,2.622459
-10.0,1,2.631648
-10.0,1,2.633153
-10.0,1,2.635157
-10.0,1,2.637004
-10.0,1,2.638509
10.0,1,2.638509
-10.0,1,2.645668
-10.0,1,2.645668
-10.0,1,2.645668
-10.0,1,2.645668
-10.0,1,2.645668
-10.0,1,2.645668
-10.0,1,2.645668
10.0,1,2.654397
-10.0,1,2.654397
-10.0,1,2.654397
10.0,1,2.654397
-10.0,1,2.654397
-10.0,1,2.654397
-10.0,1,2.654397
-10.0,1,2.654397
-10.0,1,2.667726
-10.0,1,2.669732
-10.0,1,2.669732
-10.0,1,2.669732
-10.0,1,2.669732
-10.0,1,2.669732
-10.0,1,2.67834
-10.0,1,2.680677
-10.0,1,2.682683
-10.0,1,2.684687
10.0,1,2.686749
-10.0,1,2.686749
10.0,1,2.686749
-10.0,1,2.691376
-10.0,1,2.691376
-10.0,1,2.691376
-10.0,1,2.691376
-10.0,1,2.691376
-10.0,1,2.698677
-10.0,1,2.699778
-10.0,1,2.701525
10.0,1,2.70353
-10.0,1,2.70353
-10.0,1,2.707845
-10.0,1,2.70985
10.0,1,2.711855
-10.0,1,2.71301
-10.0,1,2.71301
-10.0,1,2.716757
-10.0,1,2.718764
10.0,1,2.718764
-10.0,1,2.718764
-10.0,1,2.718764
-10.0,1,2.718764
-10.0,1,2.727625
-10.0,1,2.727625
-10.0,1,2.727625
10.0,1,2.73321
10.0,1,2.734213
-10.0,1,2.734213
-10.0,1,2.734213
10.0,1,2.734213
-10.0,1,2.734213
-10.0,1,2.734213
10.0,1,2.734213
-10.0,1,2.734213
10.0,1,2.748633
-10.0,1,2.748633
-10.0,1,2.748633
-10.0,1,2.755796
-10.0,1,2.755796
-10.0,1,2.762049
-10.0,1,2.762049
-10.0,1,2.766096
-10.0,1,2.767415
-10.0,1,2.769327
-10.0,1,2.769327
-10.0,1,2.771342
-10.0,1,2.771342
-10.0,1,2.775517
-10.0,1,2.777522
-10.0,1,2.779527
-10.0,1,2.782903
-10.0,1,2.784831
10.0,1,2.784831
-10.0,1,2.787648
-10.0,1,2.790324
-10.0,1,2.792329
-10.0,1,2.792329
10.0,1,2.79534
-10.0,1,2.797347
-10.0,1,2.797347
-10.0,1,2.797347
-10.0,1,2.802886
-10.0,1,2.802886
-10.0,1,2.802886
-10.0,1,2.807769
3.0,1,2.810786
-10.0,1,2.812694
10.0,1,2.814702
-10.0,1,2.816709
10.0,1,2.816709
3.0,1,2.821141
-10.0,1,2.821141
-10.0,1,2.821141
-10.0,1,2.826676
-10.0,1,2.826676
-10.0,1,2.826676
3.0,1,2.826676
-10.0,1,2.833364
-10.0,1,2.833364
10.0,1,2.836166
3.0,1,2.838172
10.0,1,2.841468
10.0,1,2.842475
-10.0,1,2.842475
-10.0,1,2.842475
-10.0,1,2.847993
-10.0,1,2.849535
-10.0,1,2.849535
-10.0,1,2.85154
-10.0,1,2.85154
-10.0,1,2.85154
-10.0,1,2.85154
-10.0,1,2.858147
-10.0,1,2.858147
-10.0,1,2.865
10.0,1,2.867543
-10.0,1,2.867543
-10.0,1,2.86955
-10.0,1,2.872355
-10.0,1,2.874105
10.0,1,2.874105
10.0,1,2.876112
-10.0,1,2.876112
-10.0,1,2.876112
-10.0,1,2.876112
-10.0,1,2.876112
-10.0,1,2.876112
-10.0,1,2.876112
-10.0,1,2.887804
-10.0,1,2.891815
-10.0,1,2.891815
10.0,1,2.89537
-10.0,1,2.895874
-10.0,1,2.897879
-10.0,1,2.897879
-10.0,1,2.897879
10.0,1,2.902996
-10.0,1,2.905001
-10.0,1,2.907593
10.0,1,2.909243
-10.0,1,2.909243
-10.0,1,2.909243
-10.0,1,2.909243
-10.0,1,2.909243
-10.0,1,2.917662
-10.0,1,2.920674
-10.0,1,2.922442
-10.0,1,2.922442
10.0,1,2.924447
-10.0,1,2.926451
-10.0,1,2.926451
10.0,1,2.926451
10.0,1,2.926451
-10.0,1,2.933195
-10.0,1,2.935102
-10.0,1,2.936641
-10.0,1,2.937696
-10.0,1,2.940007
-10.0,1,2.941621
-10.0,1,2.941621
-10.0,1,2.943964
10.0,1,2.945968
-10.0,1,2.947272
-10.0,1,2.947272
-10.0,1,2.949277
-10.0,1,2.952288
10.0,1,2.953484
10.0,1,2.955766
-10.0,1,2.955766
-10.0,1,2.955766
-10.0,1,2.960866
-10.0,1,2.961899
-10.0,1,2.961899
-10.0,1,2.963904
-10.0,1,2.967456
-10.0,1,2.967456
-10.0,1,2.971098
-10.0,1,2.971098
-10.0,1,2.975663
3.0,1,2.975663
-10.0,1,2.977668
-10.0,1,2.979672
-10.0,1,2.982705
-10.0,1,2.982705
-10.0,1,2.985212
-10.0,1,2.987772
-10.0,1,2.989317
-10.0,1,2.99079
-10.0,1,2.992796
-10.0,1,2.994799
10.0,1,2.997864
-10.0,1,2.997864
-10.0,1,2.999869
-10.0,1,3.001873
-10.0,1,3.001873
-10.0,1,3.005809
-10.0,1,3.007814
-10.0,1,3.009819
-10.0,1,3.011423
10.0,1,3.013268
-10.0,1,3.013772
-10.0,1,3.016561
-10.0,1,3.016561
-10.0,1,3.016561
-10.0,1,3.020486
-10.0,1,3.024251
-10.0,1,3.024251
-10.0,1,3.026864
-10.0,1,3.02887
-10.0,1,3.02887
-10.0,1,3.033112
-10.0,1,3.035118
10.0,1,3.035118
-10.0,1,3.039129
-10.0,1,3.040501
-10.0,1,3.042509
10.0,1,3.044517
-10.0,1,3.044517
-10.0,1,3.044517
-10.0,1,3.044517
-10.0,1,3.044517
-10.0,1,3.044517
-10.0,1,3.044517
-10.0,1,3.044517
-10.0,1,3.044517
10.0,1,3.06026
10.0,1,3.065066
-10.0,1,3.067072
-10.0,1,3.067072
-10.0,1,3.069078
-10.0,1,3.069078
-10.0,1,3.069078
-10.0,1,3.069078
-10.0,1,3.078032
-10.0,1,3.081028
-10.0,1,3.081028
-10.0,1,3.081028
-10.0,1,3.085078
-10.0,1,3.086781
-10.0,1,3.088787
-10.0,1,3.088787
10.0,1,3.092297
-10.0,1,3.094368
-10.0,1,3.094368
-10.0,1,3.096549
-10.0,1,3.098315
-10.0,1,3.100152
-10.0,1,3.102207
-10.0,1,3.104215
-10.0,1,3.104215
-10.0,1,3.108332
10.0,1,3.110341
-10.0,1,3.110341
-10.0,1,3.112347
-10.0,1,3.115541
-10.0,1,3.115541
-10.0,1,3.117547
-10.0,1,3.121404
-10.0,1,3.122822
-10.0,1,3.124328
10.0,1,3.126338
-10.0,1,3.126338
-10.0,1,3.126338
-10.0,1,3.13167
-10.0,1,3.133177
-10.0,1,3.133177
-10.0,1,3.133177
-10.0,1,3.139066
-10.0,1,3.140079
-10.0,1,3.142966
-10.0,1,3.142966
-10.0,1,3.142966
-10.0,1,3.142966
-10.0,1,3.14726
-10.0,1,3.15045
-10.0,1,3.15045
-10.0,1,3.15045
10.0,1,3.15045
-10.0,1,3.155967
-10.0,1,3.157973
-10.0,1,3.157973
10.0,1,3.162519
-10.0,1,3.162519
-10.0,1,3.162519
-10.0,1,3.162519
-10.0,1,3.162519
-10.0,1,3.171847
-10.0,1,3.171847
-10.0,1,3.171847
-10.0,1,3.176991
-10.0,1,3.176991
10.0,1,3.176991
-10.0,1,3.18095
-10.0,1,3.18095
-10.0,1,3.18095
-10.0,1,3.18095
-10.0,1,3.18693
-10.0,1,3.189033
-10.0,1,3.189033
-10.0,1,3.194512
-10.0,1,3.196521
-10.0,1,3.196521
-10.0,1,3.196521
10.0,1,3.196521
3.0,1,3.196521
-10.0,1,3.204016
-10.0,1,3.204016
-10.0,1,3.208885
-10.0,1,3.208885
-10.0,1,3.214439
-10.0,1,3.214439
-10.0,1,3.214439
10.0,1,3.214439
-10.0,1,3.219968
-10.0,1,3.219968
-10.0,1,3.219968
-10.0,1,3.219968
-10.0,1,3.219968
-10.0,1,3.219968
-10.0,1,3.219968
-10.0,1,3.219968
-10.0,1,3.233026
-10.0,1,3.234803
-10.0,1,3.237133
-10.0,1,3.237133
-10.0,1,3.237133
-10.0,1,3.237133
-10.0,1,3.237133
10.0,1,3.237133
-10.0,1,3.251366
-10.0,1,3.253373
-10.0,1,3.253373
3.0,1,3.255378
-10.0,1,3.257383
-10.0,1,3.257383
-10.0,1,3.262162
-10.0,1,3.262162
3.0,1,3.264168
-10.0,1,3.266871
-10.0,1,3.266871
-10.0,1,3.268878
-10.0,1,3.270883
-10.0,1,3.270883
-10.0,1,3.270883
-10.0,1,3.270883
-10.0,1,3.275146
-10.0,1,3.275146
-10.0,1,3.279986
-10.0,1,3.279986
-10.0,1,3.282996
-10.0,1,3.282996
-10.0,1,3.282996
-10.0,1,3.286554
-10.0,1,3.288559
-10.0,1,3.290197
-10.0,1,3.290197
-10.0,1,3.292053
-10.0,1,3.294989
-10.0,1,3.29655
-10.0,1,3.29655
-10.0,1,3.299613
-10.0,1,3.299613
-10.0,1,3.299613
-10.0,1,3.299613
-10.0,1,3.308713
-10.0,1,3.310719
10.0,1,3.310719
-10.0,1,3.31425
-10.0,1,3.316257
-10.0,1,3.319758
-10.0,1,3.319758
-10.0,1,3.321763
-10.0,1,3.321763
-10.0,1,3.325602
3.0,1,3.325602
-10.0,1,3.329344
-10.0,1,3.329344
-10.0,1,3.330348
-10.0,1,3.333275
-10.0,1,3.335298
-10.0,1,3.335298
3.0,1,3.339047
-10.0,1,3.339047
-10.0,1,3.342502
-10.0,1,3.344509
-10.0,1,3.348788
-10.0,1,3.350093
-10.0,1,3.350093
-10.0,1,3.352098
10.0,1,3.354103
10.0,1,3.354103
-10.0,1,3.354103
-10.0,1,3.354103
-10.0,1,3.354103
-10.0,1,3.362361
-10.0,1,3.362361
-10.0,1,3.364368
-10.0,1,3.364368
-10.0,1,3.364368
-10.0,1,3.364368
-10.0,1,3.370979
-10.0,1,3.372984
-10.0,1,3.374992
-10.0,1,3.374992
-10.0,1,3.378006
-10.0,1,3.378006
-10.0,1,3.378006
-10.0,1,3.378006
-10.0,1,3.384734
-10.0,1,3.38674
-10.0,1,3.389596
10.0,1,3.391601
10.0,1,3.391601
-10.0,1,3.395611
10.0,1,3.397232
-10.0,1,3.399528
-10.0,1,3.399528
-10.0,1,3.403312
-10.0,1,3.403312
-10.0,1,3.405651
-10.0,1,3.407656
-10.0,1,3.410472
-10.0,1,3.410472
10.0,1,3.415543
-10.0,1,3.415543
-10.0,1,3.419559
-10.0,1,3.421017
-10.0,1,3.421017
-10.0,1,3.421017
10.0,1,3.425433
-10.0,1,3.425433
-10.0,1,3.425433
-10.0,1,3.425433
-10.0,1,3.425433
10.0,1,3.433398
-10.0,1,3.433902
-10.0,1,3.433902
-10.0,1,3.433902
10.0,1,3.433902
-10.0,1,3.441155
-10.0,1,3.443162
-10.0,1,3.443162
-10.0,1,3.443162
-10.0,1,3.443162
-10.0,1,3.449441
-10.0,1,3.451448
10.0,1,3.451448
-10.0,1,3.456507
-10.0,1,3.458513
-10.0,1,3.461875
10.0,1,3.461875
-10.0,1,3.463925
-10.0,1,3.465929
10.0,1,3.465929
3.0,1,3.471467
-10.0,1,3.472471
-10.0,1,3.474477
-10.0,1,3.476481
-10.0,1,3.478511
10.0,1,3.480516
-10.0,1,3.480516
-10.0,1,3.482521
-10.0,1,3.485245
-10.0,1,3.485245
10.0,1,3.488254
-10.0,1,3.490383
-10.0,1,3.493221
10.0,1,3.494591
-10.0,1,3.494591
-10.0,1,3.494591
-10.0,1,3.50131
-10.0,1,3.50131
-10.0,1,3.503315
-10.0,1,3.504319
-10.0,1,3.504319
10.0,1,3.50983
-10.0,1,3.50983
-10.0,1,3.538717
-10.0,1,3.547071
-10.0,1,3.547071
-10.0,1,3.547071
-10.0,1,3.658473
-10.0,1,3.659586
-10.0,1,3.661857
-10.0,1,3.662863
-10.0,1,3.669872
-10.0,1,3.669872
-10.0,1,3.671879
-10.0,1,3.671879
-10.0,1,3.680961
-10.0,1,3.682462
-10.0,1,3.682462
3.0,1,3.682462
-10.0,1,3.691921
10.0,1,3.693927
-10.0,1,3.693927
-10.0,1,3.693927
-10.0,1,3.695932
-10.0,1,3.695932
-10.0,1,3.695932
-10.0,1,3.695932
-10.0,1,3.712811
-10.0,1,3.712811
-10.0,1,3.714924
-10.0,1,3.714924
-10.0,1,3.722157
3.0,1,3.724162
-10.0,1,3.725667
-10.0,1,3.725667
-10.0,1,3.733176
10.0,1,3.735182
-10.0,1,3.735182
-10.0,1,3.737187
-10.0,1,3.747256
-10.0,1,3.749262
-10.0,1,3.751268
10.0,1,3.753273
10.0,1,3.761542
10.0,1,3.763307
-10.0,1,3.765315
-10.0,1,3.765315
-10.0,1,3.772214
-10.0,1,3.773219
-10.0,1,3.775225
